wavelength,transmission,log,
627,0,-4,-4.4
628,0,-4,-4.4
629,0,-4,-4.8
630,0.0001,-6,-5.2
631,0.0001,-6,-5.6
632,0.0001,-6,-5.939794001
633,0.0001,-6,-5.879588002
634,0.0002,-5.698970004,-5.759176003
635,0.0002,-5.698970004,-5.603545753
636,0.0004,-5.397940009,-5.412697252
637,0.0006,-5.22184875,-5.243677644
638,0.0009,-5.045757491,-5.031538075
639,0.0014,-4.853871964,-4.829393302
640,0.0023,-4.638272164,-4.602260782
641,0.0041,-4.387216143,-4.335102362
642,0.0082,-4.086186148,-4.00840867
643,0.0195,-3.709965389,-3.600164472
644,0.0602,-3.220403509,-3.228140713
645,0.2529,-2.597051171,-2.997712887
646,0.2971,-2.527097348,-2.894077615
647,0.1164,-2.93404702,-2.915947743
648,0.0643,-3.191789027,-3.074192847
649,0.0468,-3.329754147,-3.245793934
650,0.0409,-3.388276692,-3.325493939
651,0.0412,-3.385102784,-3.333408514
652,0.0465,-3.332547047,-3.283120389
653,0.0587,-3.231361899,-3.177300615
654,0.0835,-3.078313525,-3.009433079
655,0.1383,-2.85917782,-2.758690459
656,0.2846,-2.545765104,-2.389563111
657,0.834,-2.078833949,-2.061054806
658,4.1141,-1.385725156,-1.868424308
659,3.6663,-1.435772001,-1.785237343
660,1.2705,-1.896025331,-1.814698643
661,0.7416,-2.129830279,-1.984972906
662,0.5941,-2.226140448,-2.141395676
663,0.5793,-2.237096472,-2.2159696
664,0.6055,-2.217885853,-2.281090725
665,0.5384,-2.268894949,-2.376749215
666,0.3504,-2.455435903,-2.516513234
667,0.1975,-2.7044329,-2.69792381
668,0.1159,-2.935916564,-2.898474064
669,0.075,-3.124938737,-3.083359673
670,0.0535,-3.271646218,-3.234157244
671,0.0417,-3.379863945,-3.348701592
672,0.0348,-3.458420756,-3.430637275
673,0.031,-3.508638306,-3.482638565
674,0.0292,-3.534617149,-3.506453924
675,0.0294,-3.53165267,-3.500661184
676,0.0317,-3.498940738,-3.462685276
677,0.0372,-3.42945706,-3.387740627
678,0.048,-3.318758763,-3.270717572
679,0.0692,-3.159893906,-3.103637478
680,0.1131,-2.946537395,-2.872449527
681,0.217,-2.663540266,-2.552323003
682,0.5327,-2.273517303,-2.218851309
683,1.9137,-1.718126143,-2.024286218
684,3.2171,-1.492535439,-1.955329917
